genre,freq
14,0.0087512345001646
22,0.11216805662240754
20,0.01602792713705695
1,0.23742181498957532
13,0.08433693624492483
8,0.1650869636782618
11,0.02733046197739493
3,7.54416767255569e-05
17,0.009101009546801273
27,0.01606221880829584
2,0.0004252167233622298
23,0.009779984637331285
15,0.025650170086689347
16,0.01786596071546143
12,0.017948260726434764
10,0.02214556128607484
25,0.09720317129375618
5,0.04392077252276967
9,0.015047185339624711
26,0.01639141885218918
28,0.01838719411829255
0,0.013785251838033578
7,0.020485844398112588
24,0.0010561834741577966
4,0.0022426752990233733
18,0.0010836168111489082
19,0.0001303083507077801
21,8.91583452211127e-05
